;ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event;Medal
6778;3802;Colin Anderson;M;43;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Shooting;Shooting Men's Running Target, Single And Double Shot;
9811;5371;George Arthur;M;31;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Football;Football Men's Football;
13325;7235;"Maxwell Allen ""Max"" Baldwin";M;28;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Canoeing;Canoeing Men's Kayak Singles, 10,000 metres;
14333;7731;"William Robert ""Billy"" Barber";M;20;;;Australia;AUS;1948 Summer;1948;Summer;London;Boxing;Boxing Men's Lightweight;
15876;8561;"Robert ""Bobby"" Bath";M;20;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Boxing;Boxing Men's Bantamweight;
16255;8730;"Frederick ""Fred"" Baugh";M;31;;74;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Weightlifting;Weightlifting Men's Middleweight;
22812;11999;Brian Reginald Blackburn;M;27;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Individual All-Around;
22813;11999;Brian Reginald Blackburn;M;27;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Team All-Around;
22814;11999;Brian Reginald Blackburn;M;27;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Floor Exercise;
22815;11999;Brian Reginald Blackburn;M;27;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Horse Vault;
22816;11999;Brian Reginald Blackburn;M;27;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Parallel Bars;
22817;11999;Brian Reginald Blackburn;M;27;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Horizontal Bar;
22818;11999;Brian Reginald Blackburn;M;27;;;Australia;AUS;1956 Summer;1956;Summer;Melbourne;Gymnastics;Gymnastics Men's Rings;
